year,limit,majorID,productID,languageID,term,price
2022,68,30,4,3,7,109111.67
2022,83,24,28,62,7,111592.55
2019,92,25,33,14,0,148096.17
2022,94,14,44,2,7,177310.34
2020,66,2,64,39,0,279492.23
2024,55,1,81,67,3,268356.03
2023,57,8,86,51,5,40169.91
2021,42,35,88,67,0,134224.33
2023,75,11,99,44,5,279234.59
2020,34,17,119,18,0,104646.48
2023,100,3,124,32,5,259920.87
2024,71,4,133,39,3,230355.36
2022,34,10,144,58,7,35253.13
2020,56,11,187,25,0,280355.74
2022,30,41,193,16,7,61102.69
2021,66,44,208,3,0,236655.33
2021,41,18,221,53,0,90089.97
2019,78,37,237,42,0,43705.37
2019,93,17,241,14,0,210112.74
2021,91,20,253,55,0,117102.57
2022,85,40,255,67,7,213723.45
2021,47,13,278,30,0,65709.89
2021,66,10,291,68,0,202682.77
2021,95,37,292,62,0,296181.26
2019,64,13,294,45,0,58250.54
2022,32,4,297,32,7,34760.6
2019,71,32,319,47,0,151550.36
2022,99,3,320,68,7,149474.91
2020,78,16,323,31,0,150781.25
2022,93,29,343,39,7,146400.26
2021,82,12,367,34,0,169862.1
2024,64,5,372,46,3,153888.18
2019,96,15,383,14,0,36018.72
2019,55,3,409,62,0,61802.46
2024,36,44,417,10,3,105402.88
2019,83,31,424,33,0,56088.04
2021,94,22,432,45,0,244258.91
2021,64,8,435,4,0,275851.58
2020,93,8,444,40,0,268471.49
2023,58,39,450,63,5,197436.27
2020,50,16,473,24,0,157915.64
2024,33,35,532,24,3,222502.94
2019,84,0,536,50,0,234934.31
2024,69,20,540,48,3,111552.29
2022,32,9,544,57,7,87300.4
2023,78,22,560,27,5,33902.08
2021,78,1,561,65,0,168319.97
2022,46,30,567,64,7,123320.68
2022,51,38,571,28,7,209686.89
2021,65,18,579,63,0,87212.28
2021,44,17,600,4,0,93494.35
2022,84,42,606,35,7,53967.98
2022,40,31,624,38,7,17953.55
2023,39,4,627,28,5,105302.39
2021,53,19,634,16,0,204714.5
2023,34,18,643,64,5,34706.15
2022,99,26,653,17,7,68837.54
2024,44,29,657,43,3,181553.93
2021,45,37,658,26,0,51622.33
2019,86,44,661,48,0,282101.35
2023,76,16,674,14,5,113863.38
2024,49,7,675,63,3,220167.9
2019,33,10,677,42,0,64810.95
2022,72,34,683,33,7,80049.8
2023,76,35,685,5,5,104617.11
2019,38,32,688,37,0,212864.47
2024,51,23,716,7,3,223838.49
2021,57,2,732,3,0,291901.76
2023,51,30,743,61,5,39185.02
2020,37,23,746,63,0,77303.86
2024,47,40,754,49,3,279758.85
2021,97,38,761,15,0,189042.19
2023,92,27,772,29,5,205642.25
2019,92,16,790,43,0,85848.83
2023,31,1,805,4,5,172500.6
2019,96,37,837,49,0,233554.55
2019,49,0,853,15,0,159801.66
2020,59,23,876,6,0,283278.86
2019,75,16,886,58,0,11360.64
2022,78,34,890,52,7,86793.44
2022,96,6,899,58,7,111428.9
2021,88,10,949,57,0,72695.43
2023,95,19,951,48,5,292965.42
2021,68,19,958,21,0,284447.44
2019,43,29,966,68,0,147749.82
2020,65,33,969,23,0,122832.83
2024,99,35,971,30,3,94797.11
