year,limit,majorID,productID,languageID,term
2023,62,25,"{'name': 'Webinar on Pharmacy', 'description': 'Enjoy kid build many. Response individual become per bit. Agent no goal hear.\nYard oil part effort class. Back husband personal way huge whose we. Season list voice at behind free western not.', 'typeID': 2}",42,5
2023,39,28,"{'name': 'Studies on Computer Science', 'description': 'Plant bill share baby control. Whether over loss sure throw.\nThousand organization prove effort. Maintain may save great.\nSense during beautiful send yet general. Thought movement federal car ready.', 'typeID': 2}",60,6
2021,37,20,"{'name': 'Course on Economics', 'description': 'Certainly standard be fish leave anything. Process yourself order smile. Point effect special market church blood red.', 'typeID': 2}",2,10
2022,92,4,"{'name': 'Course on Physics', 'description': 'Water score theory whole must hit. Leg air five can. Carry number within.\nMessage friend risk do black camera trade letter.', 'typeID': 2}",26,7
2020,71,26,"{'name': 'Webinar on Human Resources', 'description': 'Idea use able ready floor crime language. Fill keep media Mrs either field live hundred. Dinner eye parent seat response job measure newspaper.', 'typeID': 2}",11,0
2023,56,10,"{'name': 'Webinar on Management', 'description': 'Wrong whole ball discuss cause professional.\nMust professor experience on east. Man Mr almost business boy. Soldier role part free writer great teach.', 'typeID': 2}",46,6
2024,53,25,"{'name': 'Studies on Geography', 'description': 'Himself realize room.\nGoal drive cut tough product area such. Before firm site visit. Major many attention tend social tree down.', 'typeID': 2}",39,3
2023,83,10,"{'name': 'Studies on Management', 'description': 'Form give practice responsibility memory. Opportunity morning guess should.\nSupport treat level term. Half detail above outside.\nHold reflect range level loss season treatment. Less may check dream.', 'typeID': 2}",53,5
2024,43,44,"{'name': 'Course on Social Work', 'description': 'Share drive seek design. Surface among baby truth.\nThere of former although region method story. Leg continue special vote.', 'typeID': 2}",24,3
2023,75,37,"{'name': 'Webinar on Anthropology', 'description': 'Government Democrat fall executive Mr.\nExperience break poor skin worker Mrs apply. Media try bill administration letter reduce. Class day drug candidate east.', 'typeID': 2}",51,6
